k,total_params,scheduler,epochs,seq_len,batch_size,lr,weight_decay,vocab_size,max_train_batches,max_eval_batches,compile,num_workers,auto_batch_by_k,active_column_fraction,grad_accum_steps,effective_train_batch_size,micro_train_batch_size,effective_eval_batch_size,active_column_count,train_sequences_seen,train_tokens_seen,eval_sequences_seen,eval_tokens_seen,d_model,ensemble_loss,avg_individual_loss,ensemble_gain,member_certainty_mean,member_certainty_min,member_certainty_max,member_certainty_std,prediction_dissimilarity_kl,member_certainty_by_index,most_certain_member_index,least_certain_member_index,member_certainty_range,member_certainty_observed_count_min,member_certainty_observed_count_max
16,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,16,3072,393216,1888,241664,72,9.25534916504965,24.10574599342831,14.850396828378662,0.28141088954220383,0.08359949798441603,0.6791957382239022,0.1734739280447869,2.5232189482046388,"[0.5303908586502075, 0.22234223783016205, 0.09208706766366959, 0.10532764345407486, 0.21440106630325317, 0.12722380459308624, 0.5203275084495544, 0.394796222448349, 0.3440469205379486, 0.3505198061466217, 0.2003142088651657, 0.0897102877497673, 0.28495267033576965, 0.6783461570739746, 0.1625867784023285, 0.1852003037929535]",13,11,0.5886358693242073,1888,1888
16,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,16,3072,393216,1888,241664,72,8.845924939391976,24.364573440309297,15.51864850091732,0.25641576850281683,0.06697477014553813,0.5129650849848986,0.1424136814756035,2.6282265925053823,"[0.14474265277385712, 0.3581477403640747, 0.4678385257720947, 0.09772332012653351, 0.27614250779151917, 0.06715897470712662, 0.3562241494655609, 0.3152073919773102, 0.1239958181977272, 0.09806907176971436, 0.267194539308548, 0.48845094442367554, 0.18564200401306152, 0.21851785480976105, 0.4957050383090973, 0.14189153909683228]",14,5,0.4285460636019707,1888,1888
16,10000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,16,3072,393216,1888,241664,228,9.077995700351263,34.28826726493189,25.210271564580626,0.31270330238266514,0.06989208442924576,0.9039988366223998,0.2406298698131311,2.53753247756069,"[0.1241464838385582, 0.32585641741752625, 0.1751316785812378, 0.6774930357933044, 0.9039991497993469, 0.2706422209739685, 0.1497277468442917, 0.0842997208237648, 0.14678901433944702, 0.3430364429950714, 0.5431727766990662, 0.6340736150741577, 0.15982334315776825, 0.2236577570438385, 0.16832196712493896, 0.07308104634284973]",4,15,0.8309181034564972,1888,1888
16,10000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,16,3072,393216,1888,241664,228,8.814677786018889,36.616774470119154,27.802096684100263,0.3057016618549824,0.11022165163530637,0.7194453352525577,0.21536564074803966,2.6702006264763365,"[0.11797156929969788, 0.17901545763015747, 0.13829495012760162, 0.6904419660568237, 0.6411817073822021, 0.2114274650812149, 0.19276535511016846, 0.17597630620002747, 0.19843344390392303, 0.2415027767419815, 0.30781418085098267, 0.6238501071929932, 0.12356125563383102, 0.711572527885437, 0.15707288682460785, 0.18034419417381287]",13,0,0.5936009585857391,1888,1888
64,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,64,3072,393216,1888,241664,36,8.78234994588262,20.415457327487104,11.633107381604486,0.33742288913640933,0.034478239110331606,0.9194186355097819,0.2423462623619806,3.21589866065878,"[0.08391331881284714, 0.061744846403598785, 0.09444259852170944, 0.21674498915672302, 0.0361432209610939, 0.6777113080024719, 0.8945220708847046, 0.8446406126022339, 0.09192875772714615, 0.5070153474807739, 0.45470696687698364, 0.6013355851173401, 0.7287078499794006, 0.7355283498764038, 0.21412062644958496, 0.24064750969409943, 0.29550033807754517, 0.6372922658920288, 0.8920876979827881, 0.5400872230529785, 0.14303351938724518, 0.09721621870994568, 0.3894965648651123, 0.522689163684845, 0.3141372799873352, 0.2772586941719055, 0.8230763673782349, 0.1697937399148941, 0.07204307615756989, 0.41087406873703003, 0.46723997592926025, 0.16112273931503296, 0.1552368700504303, 0.521148681640625, 0.12404697388410568, 0.1495099812746048, 0.09193699806928635, 0.14214245975017548, 0.17819806933403015, 0.11487716436386108, 0.45939886569976807, 0.06834564357995987, 0.2459702044725418, 0.191982239484787, 0.07138291001319885, 0.22085531055927277, 0.2421819269657135, 0.1925337016582489, 0.5802774429321289, 0.5216533541679382, 0.16838926076889038, 0.5521311163902283, 0.1327880620956421, 0.175841823220253, 0.08448292315006256, 0.5024258494377136, 0.3632274568080902, 0.5366284847259521, 0.36391109228134155, 0.2228567898273468, 0.4763476252555847, 0.48526692390441895, 0.49831247329711914, 0.06397291272878647]",6,4,0.8583788499236107,1888,1888
64,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,64,3072,393216,1888,241664,36,8.41501054243516,20.96819293903092,12.55318239659576,0.34180338499215196,0.03392991683962834,0.97086164475245,0.2919251161895819,3.5894204600382658,"[0.940315306186676, 0.20256483554840088, 0.1753084510564804, 0.4439047574996948, 0.3496870696544647, 0.26507705450057983, 0.9186124205589294, 0.25713786482810974, 0.05785108730196953, 0.13559091091156006, 0.34623095393180847, 0.7530287504196167, 0.3562184274196625, 0.10585188120603561, 0.13564492762088776, 0.1608830988407135, 0.8949939012527466, 0.13257646560668945, 0.3184935450553894, 0.2216206192970276, 0.35807207226753235, 0.1766224503517151, 0.1312335729598999, 0.2314530611038208, 0.8535066246986389, 0.33513304591178894, 0.4472457468509674, 0.12250318378210068, 0.3302710950374603, 0.10554124414920807, 0.09217888116836548, 0.7811939716339111, 0.07803277671337128, 0.2769603431224823, 0.13603650033473969, 0.44987383484840393, 0.21172070503234863, 0.1024162545800209, 0.5525374412536621, 0.06657605618238449, 0.47575297951698303, 0.9423491954803467, 0.9701760411262512, 0.686980664730072, 0.8962751626968384, 0.5479758977890015, 0.18336711823940277, 0.15850089490413666, 0.03522955998778343, 0.10658838599920273, 0.35368606448173523, 0.046658262610435486, 0.1288408786058426, 0.0556032769382, 0.038612738251686096, 0.03973517194390297, 0.0805831104516983, 0.0703875720500946, 0.15590643882751465, 0.4715818166732788, 0.047616150230169296, 0.8065556287765503, 0.9500370621681213, 0.6157192587852478]",42,48,0.9349464811384678,1888,1888
64,10000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,64,3072,393216,1888,241664,114,8.398748360447964,30.360223975221988,21.961475614774024,0.35104842641848627,0.062159675654907855,0.9813712166022446,0.2857010539431693,3.5728038461026497,"[0.24358387291431427, 0.11513489484786987, 0.22002843022346497, 0.11112140119075775, 0.10587875545024872, 0.16408304870128632, 0.6777612566947937, 0.12427186965942383, 0.32161152362823486, 0.1931491494178772, 0.35385844111442566, 0.27957427501678467, 0.28824812173843384, 0.9268285036087036, 0.154989555478096, 0.3584429919719696, 0.9788926243782043, 0.06717216968536377, 0.10017463564872742, 0.11617182195186615, 0.26607611775398254, 0.8769348859786987, 0.5042015314102173, 0.08123468607664108, 0.1112227812409401, 0.12043115496635437, 0.12167292833328247, 0.16800931096076965, 0.14140549302101135, 0.2779971659183502, 0.7372499704360962, 0.9287759065628052, 0.5850563645362854, 0.17886120080947876, 0.2132333517074585, 0.14396488666534424, 0.43414339423179626, 0.08413705974817276, 0.6766191124916077, 0.4871874153614044, 0.11258559674024582, 0.8394574522972107, 0.45153719186782837, 0.27592650055885315, 0.15945042669773102, 0.4527970850467682, 0.23285208642482758, 0.12614983320236206, 0.2436540126800537, 0.8572533130645752, 0.9326298236846924, 0.15063945949077606, 0.9722528457641602, 0.9119019508361816, 0.3332388401031494, 0.7489079236984253, 0.1186767965555191, 0.16969597339630127, 0.06820069998502731, 0.24909783899784088, 0.23866868019104004, 0.17631645500659943, 0.5254034996032715, 0.08041229844093323]",16,17,0.9117204546928406,1888,1888
64,10000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,64,3072,393216,1888,241664,114,8.245663029662634,31.413189449552764,23.16752641989013,0.35626086032302196,0.06571327361191417,0.9969676819203769,0.29411553425745945,3.7836310753630378,"[0.978247344493866, 0.18505889177322388, 0.3153739273548126, 0.4706103503704071, 0.19781097769737244, 0.5345445871353149, 0.738611102104187, 0.2572556436061859, 0.1285848170518875, 0.21302978694438934, 0.13005706667900085, 0.09986231476068497, 0.23303164541721344, 0.09684693813323975, 0.11258235573768616, 0.10760033130645752, 0.09021590650081635, 0.1428680419921875, 0.07880772650241852, 0.11529082804918289, 0.9327392578125, 0.12387870252132416, 0.31734469532966614, 0.1927279680967331, 0.2948008179664612, 0.6633970737457275, 0.20236442983150482, 0.14107109606266022, 0.6463374495506287, 0.5522413849830627, 0.9771115183830261, 0.9107067584991455, 0.7831326723098755, 0.15753135085105896, 0.11460413038730621, 0.12973639369010925, 0.16987520456314087, 0.2034415602684021, 0.1228378489613533, 0.07459013164043427, 0.10549908876419067, 0.5650778412818909, 0.5132212042808533, 0.11220388859510422, 0.9860155582427979, 0.9967694282531738, 0.3720990717411041, 0.2264397144317627, 0.23387359082698822, 0.7384244799613953, 0.06891564279794693, 0.4047650396823883, 0.07258287072181702, 0.08935073018074036, 0.7156847715377808, 0.6035592555999756, 0.09066303819417953, 0.702604353427887, 0.28279024362564087, 0.18085475265979767, 0.4538712501525879, 0.17194019258022308, 0.9663733243942261, 0.21035487949848175]",45,50,0.9278537854552269,1888,1888
128,1000000,min,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,128,3072,393216,1888,241664,24,8.739229240154815,18.16605814230644,9.426828902151625,0.2880202079412796,0.04074187843638109,0.8656343770355491,0.22215741765448602,3.2135985046625137,"[0.22088618576526642, 0.15617063641548157, 0.119208924472332, 0.12822173535823822, 0.1579553633928299, 0.13391262292861938, 0.33446696400642395, 0.1845303326845169, 0.32439476251602173, 0.37092098593711853, 0.33846575021743774, 0.2744509279727936, 0.2852969467639923, 0.06842657178640366, 0.10834276676177979, 0.21964189410209656, 0.11421605199575424, 0.14997388422489166, 0.08972631394863129, 0.0859106108546257, 0.4718485474586487, 0.6434669494628906, 0.8091077208518982, 0.7912028431892395, 0.8275602459907532, 0.8411532044410706, 0.7797825336456299, 0.1783008724451065, 0.0936489850282669, 0.36105474829673767, 0.11449608206748962, 0.19008803367614746, 0.2526605725288391, 0.20991460978984833, 0.18486663699150085, 0.1934851109981537, 0.1987428516149521, 0.2291611284017563, 0.07188994437456131, 0.4145389497280121, 0.499875009059906, 0.5303068161010742, 0.4692082405090332, 0.3382872939109802, 0.09006818383932114, 0.14419971406459808, 0.3238588869571686, 0.3701193332672119, 0.18071883916854858, 0.0774187371134758, 0.07675390690565109, 0.09556140005588531, 0.18177106976509094, 0.38883349299430847, 0.44118577241897583, 0.5889183878898621, 0.6085566878318787, 0.6412988901138306, 0.6328751444816589, 0.11809411644935608, 0.07000763714313507, 0.10332272201776505, 0.07162640988826752, 0.0816575214266777, 0.08139781653881073, 0.059962186962366104, 0.058337122201919556, 0.31402602791786194, 0.3885691165924072, 0.3997334837913513, 0.40637820959091187, 0.3880341649055481, 0.27829477190971375, 0.11029261350631714, 0.4148501753807068, 0.46298956871032715, 0.6156547665596008, 0.8066592216491699, 0.26133468747138977, 0.11598235368728638, 0.23283830285072327, 0.13483445346355438, 0.200469508767128, 0.20097075402736664, 0.15539225935935974, 0.09747310727834702, 0.24612948298454285, 0.33787524700164795, 0.48219358921051025, 0.07023530453443527, 0.21565745770931244, 0.2781318724155426, 0.23454347252845764, 0.13697446882724762, 0.15787072479724884, 0.44334501028060913, 0.5390795469284058, 0.46222928166389465, 0.15005841851234436, 0.14023791253566742, 0.09383267909288406, 0.16807477176189423, 0.23019880056381226, 0.2634434103965759, 0.21025104820728302, 0.6572665572166443, 0.677912175655365, 0.49780505895614624, 0.29903876781463623, 0.2011381983757019, 0.12398919463157654, 0.17738521099090576, 0.16588237881660461, 0.20148661732673645, 0.3529358208179474, 0.08698787540197372, 0.13138805329799652, 0.19939006865024567, 0.1181085929274559, 0.05314437672495842, 0.09065236896276474, 0.11473546922206879, 0.07876342535018921, 0.09756452590227127, 0.33317214250564575, 0.8049798011779785, 0.789292573928833, 0.7221148610115051]",25,119,0.7880088277161121,1888,1888
128,1000000,max,2,128,12,0.0003,0.1,32000,128,,False,2,False,1.0,12,12,1,1,128,3072,393216,1888,241664,24,8.410655372476173,18.570316460173007,10.159661087696835,0.31892096847927165,0.03030413418211106,0.9869495373282392,0.2766019428401428,3.688415910480386,"[0.05842669680714607, 0.19290199875831604, 0.4251975417137146, 0.08056329190731049, 0.09922394156455994, 0.04173193499445915, 0.13744720816612244, 0.08941862732172012, 0.1285148411989212, 0.04882954806089401, 0.0324292927980423, 0.6504380702972412, 0.9014231562614441, 0.21746575832366943, 0.6518788933753967, 0.7272831797599792, 0.6261351704597473, 0.3166872560977936, 0.18588106334209442, 0.6607385873794556, 0.8818032145500183, 0.7421314716339111, 0.09631651639938354, 0.060795851051807404, 0.1099901869893074, 0.25609463453292847, 0.11230731755495071, 0.7496740818023682, 0.07842625677585602, 0.542757511138916, 0.9309921860694885, 0.87100750207901, 0.5862283706665039, 0.3576483130455017, 0.08192043006420135, 0.8766458630561829, 0.0746171697974205, 0.21983541548252106, 0.3095382750034332, 0.11974826455116272, 0.1356116086244583, 0.4767937958240509, 0.49560001492500305, 0.4484208822250366, 0.33983466029167175, 0.16568446159362793, 0.03634857013821602, 0.0620851032435894, 0.07739764451980591, 0.08381539583206177, 0.05013495311141014, 0.1596129834651947, 0.26019805669784546, 0.040322303771972656, 0.11168642342090607, 0.46071258187294006, 0.3207648694515228, 0.6182339787483215, 0.16746389865875244, 0.04116753488779068, 0.04488147422671318, 0.05339699238538742, 0.04691620543599129, 0.09795379638671875, 0.3605945110321045, 0.34763407707214355, 0.16908547282218933, 0.1584704965353012, 0.07695864886045456, 0.6019662618637085, 0.7706796526908875, 0.7931204438209534, 0.8212958574295044, 0.8217551708221436, 0.21492289006710052, 0.06576629728078842, 0.11102063953876495, 0.25935661792755127, 0.26559367775917053, 0.41419127583503723, 0.18860457837581635, 0.4585578143596649, 0.14115120470523834, 0.8404122591018677, 0.05659789219498634, 0.05955587327480316, 0.09004000574350357, 0.03539109602570534, 0.7069531679153442, 0.17937888205051422, 0.0541868731379509, 0.08342514932155609, 0.08528730273246765, 0.04044104367494583, 0.17734397947788239, 0.12759791314601898, 0.6767196655273438, 0.05042305961251259, 0.2145126312971115, 0.13293498754501343, 0.6580502390861511, 0.7819145321846008, 0.7457327842712402, 0.11477096378803253, 0.6698631048202515, 0.6685799956321716, 0.34610286355018616, 0.08934924006462097, 0.07334960997104645, 0.06176169216632843, 0.09993983805179596, 0.985378086566925, 0.12494152784347534, 0.24564865231513977, 0.3054591119289398, 0.3027046024799347, 0.30876782536506653, 0.30332663655281067, 0.08912193030118942, 0.6451838612556458, 0.766582727432251, 0.7389249205589294, 0.5657377243041992, 0.15075287222862244, 0.25398704409599304, 0.16522876918315887, 0.5473818778991699, 0.23527847230434418]",111,10,0.9529487937688828,1888,1888
